"Window_Scheme","Window_Type","Window_Size","Train_Start_Index","Train_End_Index","Train_Periods","Train_Range_Label","Test_Index","Test_Period","Feature_Scheme","Predictors","N_Predictors","Train_N","Train_Pos","Train_Neg","Test_N","Test_Pos","Test_Neg","Model","Param","Value","Tune_CV_AUC"
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","4_All_dN_All_dS_PB2_to_NS","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,636,82,554,24,9,15,"Lasso","lambda","0.0510896977450693",0.675636823072792
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","4_All_dN_All_dS_PB2_to_NS","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,636,82,554,24,9,15,"SVM_Radial","C","4",0.71737757334865
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","4_All_dN_All_dS_PB2_to_NS","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,636,82,554,24,9,15,"SVM_Radial","gamma","0.0625",0.71737757334865
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","4_All_dN_All_dS_PB2_to_NS","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,636,82,554,24,9,15,"RandomForest","mtry","1",0.715274488870536
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","4_All_dN_All_dS_PB2_to_NS","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,636,82,554,24,9,15,"RandomForest","ntree","1000",0.715274488870536
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","4_All_dN_All_dS_PB2_to_NS","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,636,82,554,24,9,15,"XGBoost","nrounds","200",0.703633523827974
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","4_All_dN_All_dS_PB2_to_NS","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,636,82,554,24,9,15,"XGBoost","max_depth","2",0.703633523827974
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","4_All_dN_All_dS_PB2_to_NS","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,636,82,554,24,9,15,"XGBoost","eta","0.1",0.703633523827974
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","4_All_dN_All_dS_PB2_to_NS","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,636,82,554,24,9,15,"DNN","units","4",0.72992329942608
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","4_All_dN_All_dS_PB2_to_NS","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,636,82,554,24,9,15,"DNN","dropout","0.2",0.72992329942608
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","4_All_dN_All_dS_PB2_to_NS","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,636,82,554,24,9,15,"DNN","learning_rate","0.001",0.72992329942608
"rolling_width_10","rolling",10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17","Mos99-Kan17 -> HK19",11,"HK19","4_All_dN_All_dS_PB2_to_NS","PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,636,82,554,24,9,15,"DNN","epochs","120",0.72992329942608
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","HA,PB1,PB2,NA_seg,HA_x_PB1",5,584,84,500,26,9,17,"Ridge","lambda","1e-04",0.74634701414898
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","HA,PB1,PB2,NA_seg,HA_x_PB1",5,584,84,500,26,9,17,"Lasso","lambda","0.0825404185268019",0.829534525100204
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","HA,PB1,PB2,NA_seg,HA_x_PB1",5,584,84,500,26,9,17,"SVM_Radial","C","4",0.752225699235605
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","HA,PB1,PB2,NA_seg,HA_x_PB1",5,584,84,500,26,9,17,"SVM_Radial","gamma","0.2",0.752225699235605
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","HA,PB1,PB2,NA_seg,HA_x_PB1",5,584,84,500,26,9,17,"RandomForest","mtry","5",0.73864844109337
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","HA,PB1,PB2,NA_seg,HA_x_PB1",5,584,84,500,26,9,17,"RandomForest","ntree","1000",0.73864844109337
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","HA,PB1,PB2,NA_seg,HA_x_PB1",5,584,84,500,26,9,17,"XGBoost","nrounds","50",0.75293417493484
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","HA,PB1,PB2,NA_seg,HA_x_PB1",5,584,84,500,26,9,17,"XGBoost","max_depth","3",0.75293417493484
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","HA,PB1,PB2,NA_seg,HA_x_PB1",5,584,84,500,26,9,17,"XGBoost","eta","0.1",0.75293417493484
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","HA,PB1,PB2,NA_seg,HA_x_PB1",5,584,84,500,26,9,17,"DNN","units","8",0.74272667663228
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","HA,PB1,PB2,NA_seg,HA_x_PB1",5,584,84,500,26,9,17,"DNN","dropout","0",0.74272667663228
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","HA,PB1,PB2,NA_seg,HA_x_PB1",5,584,84,500,26,9,17,"DNN","learning_rate","0.001",0.74272667663228
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA","HA,PB1,PB2,NA_seg,HA_x_PB1",5,584,84,500,26,9,17,"DNN","epochs","120",0.74272667663228
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","2_HA_dN_Only","HA",1,584,84,500,26,9,17,"Ridge","fallback","logistic_for_single_predictor",NA
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","2_HA_dN_Only","HA",1,584,84,500,26,9,17,"Lasso","fallback","logistic_for_single_predictor",NA
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","2_HA_dN_Only","HA",1,584,84,500,26,9,17,"SVM_Radial","C","4",0.77880729543115
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","2_HA_dN_Only","HA",1,584,84,500,26,9,17,"SVM_Radial","gamma","0.25",0.77880729543115
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","2_HA_dN_Only","HA",1,584,84,500,26,9,17,"RandomForest","mtry","1",0.68401970125063
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","2_HA_dN_Only","HA",1,584,84,500,26,9,17,"RandomForest","ntree","1000",0.68401970125063
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","2_HA_dN_Only","HA",1,584,84,500,26,9,17,"XGBoost","nrounds","100",0.731610603248133
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","2_HA_dN_Only","HA",1,584,84,500,26,9,17,"XGBoost","max_depth","3",0.731610603248133
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","2_HA_dN_Only","HA",1,584,84,500,26,9,17,"XGBoost","eta","0.1",0.731610603248133
"rolling_width_10","rolling",10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19","Fuj02-HK19 -> Cam20",12,"Cam20","2_HA_dN_Only","HA",1,584,84,500,26,9,17,"DNN","units","4",0.82596866991918
