"Window_Scheme","Window_Type","Window_Size","Test_Index","Test_Period","Train_Range_Label","Term","Beta","SE","CI95_Low_Beta","CI95_High_Beta","OR","OR_CI95_Low","OR_CI95_High","Error"
"rolling_width_7","rolling",7,14,"TH22","Vic11-Dar21 -> TH22","NA_seg",0.285875275908905,0.185573840117294,-0.0778494507209918,0.649600002538802,1.33092644630852,0.925103689753789,1.91477477076636,NA
"rolling_width_7","rolling",7,14,"TH22","Vic11-Dar21 -> TH22","HA:PB1",-0.105514337326851,0.176090812819004,-0.450652330452098,0.239623655798397,0.89986157114483,0.637212342998414,1.27077081309026,NA
"rolling_width_8","rolling",8,9,"HK15","Mos99-Swtz13 -> HK15","(Intercept)",-0.186918209705499,0.687471795697669,-1.53436292927293,1.16052650986193,0.829511579607295,0.215592995415181,3.19161324966748,NA
"rolling_width_8","rolling",8,9,"HK15","Mos99-Swtz13 -> HK15","HA",1.59119646255772,0.311961944128606,0.979751052065649,2.20264187304978,4.90961959162589,2.66379301360991,9.04888796213604,NA
"rolling_width_8","rolling",8,9,"HK15","Mos99-Swtz13 -> HK15","PB1",0.0769969778977852,0.170847028498679,-0.257863197959626,0.411857153755197,1.08003881239998,0.772700931940875,1.50961877755263,NA
"rolling_width_8","rolling",8,9,"HK15","Mos99-Swtz13 -> HK15","PB2",0.102791820287266,0.159604105971148,-0.210032227416185,0.415615867990717,1.10826066767157,0.810558123355273,1.51530368041169,NA
"rolling_width_8","rolling",8,9,"HK15","Mos99-Swtz13 -> HK15","NA_seg",0.303688941502649,0.232430245312625,-0.151874339310096,0.759252222315395,1.35484755369293,0.859096228583359,2.13667786293815,NA
"rolling_width_8","rolling",8,9,"HK15","Mos99-Swtz13 -> HK15","HA:PB1",-0.228577437697224,0.172734372130029,-0.567136807072081,0.109981931677633,0.795664680378172,0.567146967403181,1.11625790136905,NA
"rolling_width_8","rolling",8,10,"Kan17","Fuj02-HK15 -> Kan17","(Intercept)",-0.598747188549722,0.356063853433462,-1.29663234127931,0.0991379641798625,0.54949962446564,0.273451134248355,1.10421863166836,NA
"rolling_width_8","rolling",8,10,"Kan17","Fuj02-HK15 -> Kan17","HA",1.13717297589887,0.156134459290379,0.831149435689728,1.44319651610801,3.11794139856163,2.2959562782219,4.23420892509036,NA
